slang,formal
gausah,tidak usah
gazamassacre,gaza massacre
gbisa,enggak bisa
gbs,enggak bisa
gbsa,ga bisa
gda,enggak ada
gelem,mau
geleme,maunya
gemay,gemas
gemeeezzzz,gemas
gemeessss,gemas
gemes,gemas
gemesh,gemas
gemesiin,menggemaskan
gemesin,menggemaskan
gemesinnnnn,menggemaskan
gemesnya,gemasnya
gemess,gemas
gemesshh,gemas
gemesss,gemas
gemesyak,gemas ya
gemez,gemas
gemezz,gemas
gemezzzz,gemas
gemmeeezzz,gemas
geus,sudah
gk,tidak
gkmau,enggak mau
gmau,enggak mau
gmw,enggak mau
gmz,gemas
gpl,tidak pakai lama
gpny,tidak punya
gpp,tidak apa apa
gprnh,tidak pernah
gx,tidak
habes,habis
habi,habis
habiiss,habis
habisin,habiskan
hadapin,hadapi
haragain,menghargai
harakahislamiyah,harakah islamiyah
harg,harga
hargain,hargai
hargs,harga
hbis,habis
hbs,habis
hbskn,habiskan
hdapan,hadapan
hdpn,hadapan
hooh,iya
hook,iya
hrg,harga
hrgai,hargai
hrgny,harganya
http,hypertext transfer protocol
huum,iya
iaa,iya
iah,iya
ibf,international badminton federation
ibukota,ibu kota
ibulagi,ibu lagi
idak,tidak
idr,rupiah
ikr,iya gue tau
imaginenya,imajinasinya
incomenya,pemasukannya
indakk,tidak
indonesiabisa,indonesia bisa
informasiunik,informasi unik
infotech,informasi teknologi
inghinn,ingin
ingi,ingin
inginkn,inginkan
ingnikan,menginginkan
innocense,tidak bersalah
inoleran,tidak toleran
isa,bisa
iseh,masih
isih,masih
islamnusantara,islam nusantara
isnus,islam nusantara
iso,bisa
istimroriah,istimroriyah
ite,informasi transaksi elektronik
iy,iya
iyaa,iya
iyaaa,iya
iyaaaa,iya
iyaap,iya
iyaappps,iya
iyach,iya
iyain,iyakan
iyak,iya
iyamas,iya mas
iyap,iya
iyapz,iya
iye,iya
iyess,iya
iyh,iya
iyha,iya
iyo,iya
iyoo,iya
iyup,iya
iyupz,iya
iz,iya
iza,iya
izza,iya
jalok,minta
jt,juta
jubli,juru beli
ka,kakak
kaa,kakak
kaaa,kakak
kaaaa,kakak
kaaaaa,kakak
kaaakk,kakak
kaak,kakak
kaakaaaa,kakak
kaakk,kakak
kadangkadang,kadang kadang
kaga,tidak
kagak,tidak
kaj,kakak
kaka,kakak
kakakaaaaaaaaaaaaaa,kakak
kakakgh,kakak
kakakkk,kakak
kakakny,kakaknya
kakakuuu,kakakku
kakanga,kakaknya
kakanya,kakaknya
kakk,kakak
kakkk,kakak
kakkkk,kakak
kakkkkk,kakak
kalaupribumi,kalau pribumi
kamiganjaryasin,kami ganjar yasin
kamoanyeberadap,kampanye beradab
kaop,tidak kuat
karoke,karaoke
kartunin,dibuatkan kartun
kating,kakak tingkat
kberdaan,keberadaan
kdang,kadang
kdg,kadang
kdng,kadang
kdnk,kadang
keedaannya,keadaannya
kekadang,terkadang
kekuranganny,kekurangannya
kemakan,termakan
kemashlahatan,kemaslahatan
kemenkeu,kementerian keuangan
kepad,kepada
kepake,terpakai
kepd,kepada
kepda,kepada
kepengen,ingin
kepengenan,keinginan
kepingin,ingin
kepo,ingin tahu
kepoo,ingin tau
ketidakadilan,ke tidak adilan
kewangan,keuangan
key,oke
kga,tidak
kgak,tidak
kgk,tidak
khbisan,kehabisan
kibulin,kibuli
kirimin,kirimkan
kirimn,kiriman
kitaok,kita oke
kk,kakak
kka,kakak
kkak,kakak
kkk,kakak
kmauan,kemauan
kobisa,kok bisa
komanis,kok manis
komau,kok mau
kotakarismatikmadiun,kotak karismatik madiun
kotakpandora,kotak pandora
kpada,kepada
kpd,kepada
kpda,kepada
kpgn,ingin
kpngn,ingin
krg,kurang
krm,kirim
krng,kurang
kuminta,aku minta
kupake,aku pakai
kuper,kurang pergaulan
kurangin,kurangi
kurg,kurang
kurng,kurang
kusiap,aku siap
lapas,lembaga pemasyarakatan
lebihdaripadapolitik,lebih daripada politik
lemes,lemas
